213,221,38
384,250,12
290,201,34
494,250,22
468,293,72
477,26,49
159,20,56
348,199,38
422,486,81
360,389,91
299,180,26
210,32,78
250,305,96
407,443,39
338,440,63
178,475,89
308,439,9
345,367,75
69,446,2
153,292,47
149,494,88
252,344,73
117,417,7
243,410,24
75,274,38
197,199,46
476,208,80
72,223,75
240,488,17
180,208,0
437,351,31
98,189,18
145,262,53
452,292,86
294,206,5
499,61,14
292,242,83
34,216,95
484,268,44
367,490,88
184,93,94
224,259,27
270,16,70
153,286,28
115,498,3
102,81,61
431,349,24
349,321,95
210,248,76
117,289,46
228,127,35
9,29,15
87,382,42
378,133,86
325,135,72
489,128,53
490,104,55
234,0,99
244,109,49
322,147,4
466,368,51
3,154,50
64,410,82
79,241,31
429,16,95
84,67,11
92,134,59
422,257,89
308,104,25
47,146,18
19,237,56
488,476,19
191,432,71
86,88,81
468,336,9
172,375,56
187,6,8
20,56,7
442,305,87
149,176,41
384,444,63
331,171,96
473,428,88
279,409,0
292,138,25
423,391,75
385,454,82
217,57,72
220,273,74
56,9,63
455,480,64
475,423,3
264,57,27
264,432,30
317,208,88
59,143,84
344,139,34
287,260,96
306,426,47
475,47,95
220,319,44
401,242,79
490,330,4
250,249,77
451,280,60
241,79,11
499,288,57
8,0,5
121,467,15
147,235,56
221,454,98
200,285,30
384,276,63
150,66,62
37,22,28
419,333,51
330,7,85
70,445,96
224,249,37
209,236,85
281,74,76
128,245,66
201,443,3
322,307,29
111,0,71
82,246,7
290,287,3
338,124,91
178,227,93
423,160,8
322,75,53
88,317,65
280,468,56
70,326,21
48,287,68
302,310,69
353,252,48
236,491,69
146,336,3
163,217,87
98,454,77
34,307,64
224,210,39
123,101,28
433,176,32
486,25,13
332,483,22
33,489,14
55,45,5
401,177,2
406,255,25
452,474,75
44,222,70
301,63,32
477,267,86
41,414,59
180,65,25
369,485,89
248,343,18
38,240,10
50,304,51
399,348,5
450,106,12
45,328,12
80,36,52
166,189,28
226,35,40
407,409,18
1,282,96
25,239,85
374,117,88
389,432,17
499,220,22
98,471,84
16,36,20
306,376,66
190,469,63
101,358,41
46,213,41
487,197,9
289,99,35
201,353,74
455,63,7
325,264,60
268,202,6
420,65,68
363,141,42
270,165,78
147,62,78
340,415,52
454,429,62
264,354,43
378,475,92
97,351,72
308,342,48
321,496,11
420,153,72
319,239,32
156,360,20
364,322,68
